"ID_cliente","ID_producto","ID_vendedor","Cod_pedido","Fecha_pedido","Fecha_despacho","Unidades"
"C00020","I003626","V00434","P0034293","1/6/2018","1/28/2018","132"
"C00012","I003539","V00442","P0034294","1/6/2018","1/27/2018","145"
"C00029","I003619","V00432","P0034295","1/6/2018","1/18/2018","189"
"C00019","I003602","V00432","P0034296","1/6/2018","1/17/2018","85"
"C00021","I003491","V00433","P0034297","1/6/2018","1/18/2018","118"
"C00012","I003585","V00432","P0034298","1/6/2018","1/19/2018","188"
"C00021","I003570","V00440","P0034299","1/6/2018","1/26/2018","159"
"C00029","I003529","V00434","P0034300","1/6/2018","1/29/2018","107"
"C00029","I003495","V00434","P0034301","1/6/2018","1/20/2018","166"
"C00018","I003485","V00441","P0034302","1/7/2018","1/30/2018","59"
"C00012","I003485","V00435","P0034303","1/7/2018","1/22/2018","137"
"C00022","I003558","V00435","P0034304","1/7/2018","1/27/2018","188"
"C00020","I003555","V00436","P0034305","1/7/2018","1/25/2018","146"
"C00018","I003621","V00439","P0034306","1/7/2018","1/25/2018","196"
"C00013","I003518","V00441","P0034307","1/7/2018","1/28/2018","122"
"C00012","I003570","V00440","P0034308","1/7/2018","1/17/2018","123"
"C00026","I003483","V00439","P0034309","1/7/2018","1/17/2018","158"
"C00030","I003488","V00432","P0034310","1/7/2018","1/28/2018","123"
"C00013","I003548","V00437","P0034311","1/7/2018","1/22/2018","177"
"C00023","I003543","V00442","P0034312","1/7/2018","1/18/2018","123"
"C00012","I003624","V00439","P0034313","1/7/2018","1/29/2018","90"
"C00020","I003614","V00442","P0034314","1/7/2018","1/30/2018","136"
"C00025","I003491","V00441","P0034315","1/7/2018","1/31/2018","161"
"C00017","I003601","V00437","P0034316","1/8/2018","1/25/2018","105"
"C00013","I003536","V00435","P0034317","1/8/2018","1/18/2018","146"
"C00012","I003564","V00440","P0034318","1/8/2018","1/23/2018","186"
"C00026","I003559","V00433","P0034319","1/8/2018","2/2/2018","182"
"C00013","I003578","V00442","P0034320","1/8/2018","2/2/2018","139"
"C00013","I003517","V00437","P0034321","1/8/2018","1/19/2018","157"
"C00029","I003468","V00435","P0034322","1/8/2018","2/2/2018","79"
"C00027","I003527","V00441","P0034323","1/8/2018","1/27/2018","134"
"C00015","I003568","V00442","P0034324","1/8/2018","1/29/2018","64"
"C00015","I003500","V00437","P0034325","1/9/2018","2/3/2018","102"
"C00015","I003591","V00432","P0034326","1/9/2018","1/29/2018","135"
"C00028","I003579","V00433","P0034327","1/9/2018","1/27/2018","176"
"C00026","I003567","V00436","P0034328","1/9/2018","1/22/2018","54"
"C00012","I003553","V00434","P0034329","1/9/2018","1/29/2018","118"
"C00022","I003495","V00441","P0034330","1/9/2018","1/31/2018","193"
"C00014","I003540","V00436","P0034331","1/9/2018","1/25/2018","176"
"C00013","I003506","V00441","P0034332","1/9/2018","1/26/2018","185"
"C00030","I003624","V00440","P0034333","1/9/2018","1/22/2018","73"
"C00015","I003578","V00439","P0034334","1/9/2018","1/27/2018","105"
"C00016","I003606","V00441","P0034335","1/9/2018","1/27/2018","129"
"C00022","I003511","V00438","P0034336","1/10/2018","1/26/2018","81"
"C00018","I003546","V00434","P0034337","1/10/2018","2/1/2018","93"
"C00013","I003550","V00438","P0034338","1/10/2018","1/26/2018","90"
"C00011","I003608","V00436","P0034339","1/10/2018","1/24/2018","159"
"C00030","I003514","V00440","P0034340","1/10/2018","2/4/2018","120"
"C00013","I003507","V00435","P0034341","1/10/2018","2/4/2018","142"
"C00011","I003466","V00441","P0034342","1/10/2018","1/25/2018","168"
"C00021","I003591","V00441","P0034343","1/10/2018","1/20/2018","83"
"C00020","I003526","V00442","P0034344","1/10/2018","1/28/2018","198"
"C00023","I003501","V00436","P0034345","1/10/2018","1/20/2018","98"
"C00017","I003485","V00440","P0034346","1/10/2018","1/26/2018","176"
"C00026","I003538","V00432","P0034347","1/10/2018","1/31/2018","126"
"C00020","I003503","V00436","P0034348","1/10/2018","1/29/2018","124"
"C00028","I003486","V00436","P0034349","1/10/2018","1/25/2018","179"
"C00017","I003471","V00434","P0034350","1/10/2018","2/1/2018","51"
"C00013","I003624","V00436","P0034351","1/10/2018","1/20/2018","102"
"C00029","I003525","V00432","P0034352","1/10/2018","1/31/2018","71"
"C00020","I003467","V00438","P0034353","1/10/2018","2/1/2018","113"
"C00012","I003561","V00434","P0034354","1/11/2018","1/29/2018","181"
"C00027","I003586","V00434","P0034355","1/11/2018","1/27/2018","179"
"C00024","I003505","V00441","P0034356","1/11/2018","1/24/2018","153"
"C00017","I003495","V00432","P0034357","1/11/2018","2/3/2018","85"
"C00021","I003606","V00433","P0034358","1/11/2018","1/27/2018","82"
"C00013","I003605","V00432","P0034359","1/11/2018","1/24/2018","57"
"C00030","I003555","V00439","P0034360","1/11/2018","1/25/2018","116"
"C00022","I003498","V00437","P0034361","1/11/2018","1/24/2018","124"
"C00013","I003494","V00439","P0034362","1/11/2018","1/27/2018","73"
"C00021","I003573","V00436","P0034363","1/11/2018","1/30/2018","127"
"C00029","I003613","V00436","P0034364","1/11/2018","1/29/2018","114"
"C00023","I003548","V00442","P0034365","1/11/2018","1/26/2018","171"
"C00029","I003528","V00433","P0034366","1/11/2018","1/24/2018","96"
"C00016","I003484","V00439","P0034367","1/11/2018","2/4/2018","157"
"C00026","I003513","V00435","P0034368","1/12/2018","1/24/2018","182"
"C00011","I003548","V00440","P0034369","1/12/2018","1/28/2018","75"
"C00011","I003500","V00437","P0034370","1/12/2018","1/31/2018","68"
"C00027","I003585","V00442","P0034371","1/12/2018","2/6/2018","58"
"C00028","I003587","V00439","P0034372","1/12/2018","1/23/2018","102"
"C00022","I003556","V00441","P0034373","1/12/2018","1/27/2018","196"
"C00022","I003557","V00440","P0034374","1/12/2018","2/6/2018","86"
"C00014","I003464","V00442","P0034375","1/12/2018","1/23/2018","93"
"C00016","I003621","V00432","P0034376","1/12/2018","2/2/2018","138"
"C00013","I003490","V00434","P0034377","1/12/2018","2/1/2018","111"
"C00021","I003586","V00434","P0034378","1/12/2018","2/2/2018","177"
"C00013","I003495","V00435","P0034379","1/12/2018","2/3/2018","132"
"C00024","I003472","V00439","P0034380","1/12/2018","1/23/2018","135"
"C00012","I003587","V00441","P0034381","1/12/2018","1/30/2018","194"
"C00012","I003475","V00438","P0034382","1/12/2018","1/26/2018","130"
"C00024","I003599","V00437","P0034383","1/12/2018","2/1/2018","155"
"C00019","I003518","V00434","P0034384","1/13/2018","2/7/2018","70"
"C00017","I003535","V00436","P0034385","1/13/2018","1/24/2018","165"
"C00011","I003551","V00437","P0034386","1/13/2018","2/7/2018","169"
"C00022","I003576","V00434","P0034387","1/13/2018","1/28/2018","100"
"C00026","I003618","V00440","P0034388","1/13/2018","2/5/2018","116"
"C00021","I003484","V00432","P0034389","1/13/2018","2/6/2018","73"
"C00027","I003534","V00442","P0034390","1/13/2018","1/25/2018","170"
"C00029","I003500","V00442","P0034391","1/13/2018","1/29/2018","198"
"C00018","I003563","V00439","P0034392","1/13/2018","2/6/2018","187"
"C00011","I003587","V00434","P0034393","1/13/2018","1/23/2018","90"
"C00018","I003606","V00442","P0034394","1/14/2018","1/30/2018","70"
"C00024","I003534","V00441","P0034395","1/14/2018","2/3/2018","65"
"C00020","I003479","V00437","P0034396","1/14/2018","1/25/2018","107"
"C00013","I003566","V00438","P0034397","1/14/2018","1/31/2018","105"
"C00023","I003563","V00435","P0034398","1/14/2018","2/4/2018","50"
"C00014","I003498","V00441","P0034399","1/14/2018","1/25/2018","186"
"C00027","I003555","V00441","P0034400","1/14/2018","2/2/2018","88"
"C00024","I003487","V00433","P0034401","1/14/2018","1/30/2018","128"
"C00013","I003518","V00442","P0034402","1/14/2018","2/2/2018","109"
"C00014","I003497","V00438","P0034403","1/14/2018","2/7/2018","185"
"C00012","I003502","V00438","P0034404","1/14/2018","1/30/2018","98"
"C00029","I003533","V00433","P0034405","1/15/2018","1/29/2018","108"
"C00021","I003511","V00436","P0034406","1/15/2018","2/5/2018","135"
"C00024","I003586","V00436","P0034407","1/15/2018","2/1/2018","148"
"C00024","I003585","V00438","P0034408","1/15/2018","1/25/2018","197"
"C00027","I003578","V00440","P0034409","1/15/2018","1/31/2018","170"
"C00014","I003616","V00432","P0034410","1/15/2018","1/26/2018","60"
"C00016","I003541","V00442","P0034411","1/15/2018","1/27/2018","170"
"C00015","I003627","V00439","P0034412","1/15/2018","1/31/2018","103"
"C00012","I003520","V00432","P0034413","1/15/2018","1/30/2018","156"
"C00030","I003528","V00439","P0034414","1/15/2018","2/5/2018","75"
"C00022","I003570","V00436","P0034415","1/15/2018","2/1/2018","102"
"C00032","I003552","V00436","P0034416","1/15/2018","1/29/2018","197"
"C00032","I003604","V00433","P0034417","1/15/2018","1/30/2018","153"
"C00032","I003611","V00432","P0034418","1/15/2018","1/26/2018","131"
"C00019","I003605","V00438","P0034419","1/15/2018","2/2/2018","81"
"C00030","I003495","V00437","P0034420","1/16/2018","1/29/2018","128"
"C00014","I003504","V00436","P0034421","1/16/2018","2/2/2018","178"
"C00021","I003541","V00436","P0034422","1/16/2018","1/30/2018","183"
"C00023","I003619","V00435","P0034423","1/16/2018","2/8/2018","67"
"C00019","I003523","V00441","P0034424","1/16/2018","1/31/2018","84"
"C00023","I003569","V00435","P0034425","1/16/2018","2/10/2018","102"
"C00011","I003608","V00438","P0034426","1/16/2018","2/5/2018","152"
"C00027","I003557","V00434","P0034427","1/16/2018","1/28/2018","77"
"C00019","I003478","V00439","P0034428","1/16/2018","2/7/2018","100"
"C00019","I003609","V00437","P0034429","1/16/2018","2/6/2018","105"
"C00019","I003541","V00440","P0034430","1/16/2018","2/4/2018","113"
"C00032","I003497","V00436","P0034431","1/16/2018","2/4/2018","54"
"C00015","I003511","V00440","P0034432","1/16/2018","2/9/2018","108"
"C00022","I003488","V00441","P0034433","1/17/2018","1/29/2018","53"
"C00023","I003569","V00436","P0034434","1/17/2018","2/1/2018","191"
"C00027","I003536","V00434","P0034435","1/17/2018","2/10/2018","138"
"C00022","I003579","V00435","P0034436","1/17/2018","2/5/2018","185"
"C00020","I003568","V00436","P0034437","1/17/2018","2/7/2018","184"
"C00013","I003469","V00436","P0034438","1/17/2018","2/8/2018","154"
"C00027","I003574","V00435","P0034439","1/17/2018","2/11/2018","123"
"C00020","I003528","V00442","P0034440","1/18/2018","1/29/2018","65"
"C00029","I003470","V00434","P0034441","1/18/2018","2/12/2018","71"
"C00015","I003565","V00441","P0034442","1/18/2018","2/7/2018","194"
"C00020","I003471","V00435","P0034443","1/18/2018","2/5/2018","106"
"C00029","I003581","V00436","P0034444","1/18/2018","2/2/2018","176"
"C00013","I003558","V00435","P0034445","1/18/2018","2/7/2018","105"
"C00024","I003536","V00434","P0034446","1/18/2018","1/28/2018","136"
"C00030","I003603","V00438","P0034447","1/18/2018","1/29/2018","173"
"C00023","I003568","V00440","P0034448","1/18/2018","1/31/2018","163"
"C00020","I003526","V00442","P0034449","1/18/2018","2/9/2018","129"
"C00022","I003525","V00434","P0034450","1/18/2018","2/11/2018","61"
"C00029","I003501","V00437","P0034451","1/19/2018","2/10/2018","95"
"C00027","I003507","V00437","P0034452","1/19/2018","2/1/2018","128"
"C00011","I003610","V00432","P0034453","1/19/2018","2/12/2018","189"
"C00012","I003592","V00437","P0034454","1/19/2018","2/1/2018","158"
"C00020","I003473","V00434","P0034455","1/19/2018","2/1/2018","53"
"C00027","I003516","V00432","P0034456","1/19/2018","1/29/2018","138"
"C00024","I003552","V00441","P0034457","1/19/2018","2/13/2018","184"
"C00032","I003517","V00434","P0034458","1/19/2018","1/29/2018","108"
"C00020","I003622","V00442","P0034459","1/19/2018","2/8/2018","85"
"C00016","I003551","V00438","P0034460","1/19/2018","2/5/2018","116"
"C00032","I003465","V00434","P0034461","1/19/2018","1/29/2018","54"
"C00021","I003488","V00442","P0034462","1/20/2018","2/11/2018","50"
"C00027","I003579","V00440","P0034463","1/20/2018","2/2/2018","166"
"C00017","I003546","V00434","P0034464","1/20/2018","1/31/2018","119"
"C00017","I003592","V00432","P0034465","1/20/2018","1/30/2018","95"
"C00023","I003473","V00442","P0034466","1/20/2018","1/31/2018","110"
"C00011","I003490","V00440","P0034467","1/20/2018","2/3/2018","126"
"C00026","I003596","V00440","P0034468","1/20/2018","1/30/2018","196"
"C00024","I003624","V00440","P0034469","1/20/2018","2/6/2018","160"
"C00019","I003522","V00439","P0034470","1/20/2018","2/10/2018","189"
"C00027","I003479","V00435","P0034471","1/21/2018","2/12/2018","153"
"C00022","I003626","V00435","P0034472","1/21/2018","2/9/2018","138"
"C00014","I003625","V00442","P0034473","1/21/2018","2/8/2018","178"
"C00016","I003465","V00437","P0034474","1/21/2018","2/13/2018","58"
"C00011","I003470","V00438","P0034475","1/21/2018","1/31/2018","194"
"C00011","I003616","V00441","P0034476","1/21/2018","2/6/2018","157"
"C00023","I003582","V00432","P0034477","1/21/2018","2/15/2018","170"
"C00030","I003623","V00435","P0034478","1/21/2018","2/15/2018","112"
"C00019","I003607","V00442","P0034479","1/21/2018","2/5/2018","161"
"C00026","I003540","V00437","P0034480","1/21/2018","2/9/2018","162"
"C00020","I003524","V00438","P0034481","1/21/2018","2/2/2018","62"
"C00019","I003542","V00441","P0034482","1/21/2018","2/9/2018","171"
"C00029","I003536","V00437","P0034483","1/21/2018","2/5/2018","90"
"C00022","I003573","V00439","P0034484","1/22/2018","2/7/2018","110"
"C00029","I003499","V00433","P0034485","1/22/2018","2/6/2018","160"
"C00017","I003606","V00432","P0034486","1/22/2018","2/16/2018","191"
"C00011","I003545","V00438","P0034487","1/22/2018","2/4/2018","116"
"C00020","I003600","V00434","P0034488","1/22/2018","2/10/2018","113"
"C00023","I003471","V00433","P0034489","1/22/2018","2/5/2018","195"
"C00016","I003511","V00438","P0034490","1/22/2018","2/10/2018","62"
"C00032","I003577","V00442","P0034491","1/22/2018","2/6/2018","91"
"C00028","I003486","V00438","P0034492","1/22/2018","2/2/2018","133"
"C00032","I003500","V00440","P0034493","1/23/2018","2/4/2018","125"
"C00020","I003551","V00442","P0034494","1/23/2018","2/15/2018","95"
"C00017","I003601","V00433","P0034495","1/23/2018","2/13/2018","69"
"C00018","I003519","V00441","P0034496","1/23/2018","2/5/2018","186"
"C00024","I003575","V00439","P0034497","1/23/2018","2/15/2018","62"
"C00032","I003612","V00442","P0034498","1/23/2018","2/2/2018","81"
"C00013","I003472","V00436","P0034499","1/23/2018","2/10/2018","179"
"C00023","I003575","V00432","P0034500","1/23/2018","2/12/2018","134"
"C00016","I003516","V00433","P0034501","1/23/2018","2/14/2018","173"
"C00027","I003539","V00442","P0034502","1/23/2018","2/7/2018","102"
"C00024","I003515","V00432","P0034503","1/23/2018","2/5/2018","124"
"C00022","I003580","V00440","P0034504","1/23/2018","2/11/2018","58"
"C00014","I003525","V00434","P0034505","1/23/2018","2/9/2018","101"
"C00012","I003621","V00435","P0034506","1/24/2018","2/16/2018","166"
"C00026","I003498","V00436","P0034507","1/24/2018","2/10/2018","200"
"C00026","I003563","V00436","P0034508","1/24/2018","2/13/2018","167"
"C00027","I003582","V00442","P0034509","1/24/2018","2/7/2018","149"
"C00029","I003503","V00433","P0034510","1/24/2018","2/4/2018","91"
"C00020","I003498","V00439","P0034511","1/24/2018","2/13/2018","105"
"C00027","I003524","V00442","P0034512","1/24/2018","2/6/2018","103"
"C00028","I003489","V00441","P0034513","1/24/2018","2/16/2018","110"
"C00025","I003598","V00438","P0034514","1/24/2018","2/18/2018","90"
"C00025","I003615","V00433","P0034515","1/24/2018","2/17/2018","68"
"C00022","I003578","V00435","P0034516","1/24/2018","2/4/2018","184"
"C00011","I003509","V00439","P0034517","1/24/2018","2/18/2018","126"
"C00011","I003612","V00441","P0034518","1/24/2018","2/5/2018","154"
"C00016","I003577","V00439","P0034519","1/24/2018","2/8/2018","51"
"C00027","I003505","V00439","P0034520","1/24/2018","2/6/2018","199"
"C00028","I003624","V00432","P0034521","1/25/2018","2/9/2018","137"
"C00015","I003535","V00437","P0034522","1/25/2018","2/4/2018","100"
"C00025","I003512","V00440","P0034523","1/25/2018","2/6/2018","92"
"C00018","I003465","V00436","P0034524","1/25/2018","2/15/2018","76"
"C00032","I003591","V00441","P0034525","1/25/2018","2/6/2018","148"
"C00030","I003506","V00435","P0034526","1/25/2018","2/18/2018","109"
"C00018","I003573","V00439","P0034527","1/25/2018","2/5/2018","182"
"C00020","I003494","V00436","P0034528","1/25/2018","2/14/2018","74"
"C00011","I003495","V00434","P0034529","1/25/2018","2/13/2018","171"
"C00021","I003618","V00436","P0034530","1/25/2018","2/7/2018","104"
"C00012","I003580","V00432","P0034531","1/25/2018","2/6/2018","199"
"C00016","I003523","V00436","P0034532","1/26/2018","2/19/2018","128"
"C00011","I003594","V00438","P0034533","1/26/2018","2/13/2018","182"
"C00013","I003572","V00433","P0034534","1/26/2018","2/5/2018","173"
"C00020","I003523","V00435","P0034535","1/26/2018","2/19/2018","163"
"C00015","I003575","V00442","P0034536","1/26/2018","2/17/2018","120"
"C00019","I003500","V00436","P0034537","1/26/2018","2/5/2018","121"
"C00022","I003545","V00438","P0034538","1/26/2018","2/13/2018","117"
"C00019","I003618","V00437","P0034539","1/26/2018","2/12/2018","65"
"C00020","I003615","V00439","P0034540","1/26/2018","2/14/2018","123"
"C00025","I003476","V00439","P0034541","1/26/2018","2/18/2018","160"
"C00013","I003601","V00442","P0034542","1/26/2018","2/19/2018","108"
"C00026","I003573","V00432","P0034543","1/26/2018","2/8/2018","64"
"C00012","I003551","V00442","P0034544","1/27/2018","2/13/2018","138"
"C00011","I003619","V00442","P0034545","1/27/2018","2/14/2018","142"
"C00028","I003492","V00437","P0034546","1/27/2018","2/12/2018","145"
"C00030","I003624","V00434","P0034547","1/27/2018","2/14/2018","125"
"C00032","I003554","V00432","P0034548","1/27/2018","2/14/2018","91"
"C00027","I003617","V00432","P0034549","1/27/2018","2/14/2018","50"
"C00016","I003508","V00441","P0034550","1/27/2018","2/19/2018","188"
"C00023","I003605","V00436","P0034551","1/27/2018","2/9/2018","183"
"C00018","I003563","V00435","P0034552","1/27/2018","2/17/2018","192"
"C00032","I003580","V00432","P0034553","1/27/2018","2/13/2018","85"
"C00011","I003617","V00442","P0034554","1/27/2018","2/17/2018","192"
"C00016","I003480","V00432","P0034555","1/27/2018","2/7/2018","84"
"C00020","I003489","V00433","P0034556","1/27/2018","2/21/2018","57"
"C00025","I003602","V00435","P0034557","1/27/2018","2/13/2018","192"
"C00011","I003522","V00441","P0034558","1/27/2018","2/12/2018","172"
"C00024","I003499","V00442","P0034559","1/27/2018","2/16/2018","74"
"C00023","I003614","V00441","P0034560","1/27/2018","2/18/2018","71"
"C00020","I003581","V00438","P0034561","1/27/2018","2/20/2018","84"
"C00023","I003565","V00432","P0034562","1/27/2018","2/10/2018","89"
"C00012","I003601","V00435","P0034563","1/27/2018","2/9/2018","68"
"C00016","I003554","V00434","P0034564","1/27/2018","2/15/2018","186"
"C00015","I003518","V00438","P0034565","1/27/2018","2/20/2018","52"
"C00021","I003600","V00440","P0034566","1/27/2018","2/13/2018","119"
"C00020","I003608","V00437","P0034567","1/27/2018","2/20/2018","112"
"C00027","I003489","V00435","P0034568","1/27/2018","2/19/2018","111"
"C00013","I003552","V00432","P0034569","1/28/2018","2/8/2018","123"
"C00012","I003472","V00439","P0034570","1/28/2018","2/17/2018","177"
"C00029","I003618","V00436","P0034571","1/28/2018","2/9/2018","162"
"C00030","I003502","V00440","P0034572","1/28/2018","2/16/2018","84"
"C00011","I003487","V00437","P0034573","1/28/2018","2/17/2018","116"
"C00011","I003596","V00432","P0034574","1/28/2018","2/22/2018","137"
"C00026","I003577","V00441","P0034575","1/28/2018","2/10/2018","77"
"C00030","I003496","V00433","P0034576","1/28/2018","2/18/2018","149"
"C00020","I003511","V00435","P0034577","1/28/2018","2/8/2018","155"
"C00023","I003519","V00432","P0034578","1/28/2018","2/14/2018","68"
"C00020","I003502","V00437","P0034579","1/28/2018","2/13/2018","173"
"C00024","I003504","V00435","P0034580","1/28/2018","2/11/2018","58"
"C00017","I003600","V00438","P0034581","1/28/2018","2/15/2018","60"
"C00032","I003529","V00442","P0034582","1/28/2018","2/19/2018","122"
"C00011","I003492","V00433","P0034583","1/28/2018","2/10/2018","65"
"C00025","I003480","V00441","P0034584","1/28/2018","2/11/2018","94"
"C00023","I003607","V00433","P0034585","1/29/2018","2/19/2018","167"
"C00030","I003602","V00438","P0034586","1/29/2018","2/23/2018","93"
"C00020","I003512","V00437","P0034587","1/29/2018","2/9/2018","155"
"C00024","I003562","V00434","P0034588","1/29/2018","2/12/2018","173"
"C00020","I003547","V00432","P0034589","1/29/2018","2/21/2018","111"
"C00011","I003541","V00439","P0034590","1/29/2018","2/11/2018","130"
"C00025","I003563","V00434","P0034591","1/29/2018","2/18/2018","133"
"C00016","I003513","V00440","P0034592","1/29/2018","2/17/2018","181"
"C00011","I003483","V00432","P0034593","1/29/2018","2/9/2018","138"
"C00017","I003556","V00440","P0034594","1/29/2018","2/19/2018","56"
"C00018","I003607","V00439","P0034595","1/30/2018","2/18/2018","75"
"C00015","I003581","V00441","P0034596","1/30/2018","2/18/2018","189"
"C00015","I003507","V00433","P0034597","1/30/2018","2/20/2018","183"
"C00018","I003526","V00434","P0034598","1/30/2018","2/9/2018","109"
"C00023","I003587","V00439","P0034599","1/30/2018","2/24/2018","101"
"C00030","I003496","V00434","P0034600","1/30/2018","2/24/2018","122"
"C00016","I003563","V00442","P0034601","1/30/2018","2/11/2018","147"
"C00015","I003467","V00436","P0034602","1/30/2018","2/24/2018","165"
"C00027","I003592","V00433","P0034603","1/30/2018","2/20/2018","185"
"C00018","I003530","V00438","P0034604","1/30/2018","2/17/2018","67"
"C00022","I003476","V00439","P0034605","1/30/2018","2/12/2018","174"
"C00018","I003534","V00433","P0034606","1/30/2018","2/17/2018","178"
"C00029","I003541","V00432","P0034607","1/30/2018","2/23/2018","110"
"C00017","I003484","V00437","P0034608","1/30/2018","2/13/2018","136"
"C00018","I003587","V00435","P0034609","1/30/2018","2/22/2018","101"
"C00028","I003613","V00432","P0034610","1/30/2018","2/23/2018","148"
"C00014","I003560","V00432","P0034611","1/31/2018","2/22/2018","57"
"C00027","I003485","V00436","P0034612","1/31/2018","2/23/2018","114"
"C00016","I003531","V00433","P0034613","1/31/2018","2/17/2018","146"
"C00011","I003494","V00432","P0034614","1/31/2018","2/16/2018","123"
"C00019","I003600","V00438","P0034615","1/31/2018","2/11/2018","100"
"C00017","I003525","V00440","P0034616","1/31/2018","2/11/2018","180"
"C00011","I003608","V00435","P0034617","1/31/2018","2/11/2018","78"
"C00015","I003614","V00441","P0034618","1/31/2018","2/11/2018","63"
